0 1
1 0
2 1
3 1.41421
4 1.73205
5 1.41421
6 2.23607
7 2
8 2.23607
9 1.41421
10 1
11 0
12 1
13 1.41421
14 1
15 1.41421
16 1.73205
17 2.44949
18 2.23607
19 3.16228
20 3.31662
21 3.74166
22 3.60555
23 3.74166
24 3
25 3.74166
26 3.31662
27 3.16228
28 3.60555
29 4.24264
30 4.3589
31 4.24264
32 4.3589
33 4.69042
34 4.12311
35 3.74166
36 3
37 3.74166
38 4.3589
39 4.24264
40 5
41 4.47214
42 5
43 5.09902
44 5.91608
45 5.83095
46 5.91608
47 6.78233
48 7.28011
49 6.48074
50 6.7082
51 6.16441
52 7
53 6.16441
54 5.91608
55 5.09902
56 4.3589
57 3.74166
58 4.3589
59 4.69042
60 5.19615
61 5.83095
62 6.40312
63 7.07107
64 6.55744
65 6.16441
66 5.38516
67 4.69042
68 5.19615
69 4.69042
70 4.12311
71 4.69042
72 4.12311
73 4.69042
74 5.38516
75 5.83095
76 5.19615
77 5.83095
78 5.38516
79 6.16441
80 5.38516
81 5.83095
82 6.40312
83 6.9282
84 6.40312
85 6.9282
86 7.54983
87 8.12404
88 7.68115
89 7.07107
90 6.40312
91 6
92 5.74456
93 6.48074
94 5.91608
95 6.16441
96 6.55744
97 6.16441
98 6.55744
99 6.16441
