-2.475   0.0004   0.0004
-2.425   0.0004   0.000281411
-2.375   0.0002   0.0002
-2.325   0   0
-2.275   0.0006   0.000445403
-2.225   0.0004   0.000281411
-2.175   0.0012   0.000890806
-2.125   0.0024   0.000865967
-2.075   0.004   0.00160806
-2.025   0.007   0.00180627
-1.975   0.0072   0.0020004
-1.925   0.0062   0.00190045
-1.875   0.0156   0.00282242
-1.825   0.0176   0.00329407
-1.775   0.0282   0.0041007
-1.725   0.0356   0.00436311
-1.675   0.0394   0.00504088
-1.625   0.065   0.00640943
-1.575   0.0718   0.00603756
-1.525   0.082   0.00553045
-1.475   0.113   0.00767193
-1.425   0.147   0.00845368
-1.375   0.1392   0.00780531
-1.325   0.1966   0.00974443
-1.275   0.2138   0.00991966
-1.225   0.2352   0.010476
-1.175   0.2666   0.011271
-1.125   0.301   0.0134401
-1.075   0.3356   0.0145104
-1.025   0.3666   0.0136894
-0.975   0.3838   0.0155899
-0.925   0.392   0.0143633
-0.875   0.3764   0.0133768
-0.825   0.4114   0.0142226
-0.775   0.4554   0.0166238
-0.725   0.4332   0.0169568
-0.675   0.4306   0.0139449
-0.625   0.428   0.0149342
-0.575   0.434   0.0175821
-0.525   0.3924   0.0132689
-0.475   0.3872   0.0137467
-0.425   0.3514   0.0115234
-0.375   0.3654   0.0119387
-0.325   0.3268   0.0127579
-0.275   0.3024   0.0116386
-0.225   0.3022   0.0120266
-0.175   0.2896   0.012938
-0.125   0.273   0.00986116
-0.075   0.2642   0.0111638
-0.025   0.2636   0.0111315
0.025   0.2922   0.0113987
0.075   0.257   0.00906709
0.125   0.2842   0.0116664
0.175   0.2934   0.0111375
0.225   0.275   0.0101598
0.275   0.3006   0.0103023
0.325   0.3162   0.0108644
0.375   0.356   0.0118986
0.425   0.3712   0.0149269
0.475   0.3942   0.0146895
0.525   0.4094   0.0132374
0.575   0.3886   0.0133916
0.625   0.4648   0.0153797
0.675   0.4352   0.0149939
0.725   0.4552   0.0157175
0.775   0.435   0.0164516
0.825   0.415   0.0158155
0.875   0.4176   0.0151098
0.925   0.4346   0.015911
0.975   0.3794   0.0147613
1.025   0.3446   0.0155436
1.075   0.3376   0.0116698
1.125   0.2978   0.0133482
1.175   0.2538   0.0102443
1.225   0.2554   0.0115849
1.275   0.1928   0.00966309
1.325   0.1804   0.0096984
1.375   0.162   0.0104272
1.425   0.1316   0.00861373
1.475   0.1072   0.00719439
1.525   0.0824   0.00681223
1.575   0.0754   0.00651249
1.625   0.0662   0.00636718
1.675   0.0422   0.00463535
1.725   0.0422   0.00519436
1.775   0.0238   0.00369214
1.825   0.0266   0.00377183
1.875   0.0134   0.00321681
1.925   0.0078   0.00241033
1.975   0.0046   0.00144544
2.025   0.005   0.00187218
2.075   0.0036   0.00154082
2.125   0.004   0.00158274
2.175   0.0008   0.000562821
2.225   0.0002   0.0002
2.275   0.0002   0.0002
2.325   0.0004   0.0004
2.375   0   0
2.425   0   0
2.475   0   0
